Precio $,Dormitorios,Nombre,Tamaño mt2,Habitaciones,Sanitarios,Parqueos,Zona,Agente,Tipo de Propiedad,URL
"$ 3,900",3,Zona 14,415,3,3.5,Info no disponible,"Zona 14, Guatemala",Annabella Niederheitmann,Tipo no especificado,https://mapainmueble.com/area/zona-14/
"$ 3,200",3,Zona 14,250,3,3,Info no disponible,"Zona 14, Guatemala",Realty Guatemala,Tipo no especificado,https://mapainmueble.com/area/zona-14/
"$ 2,800",2,Zona 14,240,2,2.5,Info no disponible,"Zona 14, Guatemala",Olga de Torrebiarte,Tipo no especificado,https://mapainmueble.com/area/zona-14/
"$ 1,100 3 habitaciones",3,Zona 14,96,3,2,Info no disponible,"Zona 14, Guatemala",Enlaces Inmobiliarios,Tipo no especificado,https://mapainmueble.com/area/zona-14/
$ 800,2,Zona 14,Info no disponible,2,2,Info no disponible,"Zona 14, Guatemala",LUPA INMOBILIARIA Mary Gonzalez,Tipo no especificado,https://mapainmueble.com/area/zona-14/
"$ 1,250",3,Zona 14,139,3,2.5,Info no disponible,"Zona 14, Guatemala",Jarisa Bienes Raices,Tipo no especificado,https://mapainmueble.com/area/zona-14/
"$ 2,200",2,Zona 14,153,2,2.5,Info no disponible,"Zona 14, Guatemala",COINMSA Guatemala,Tipo no especificado,https://mapainmueble.com/area/zona-14/
"$ 3,200 Más iva más mantenimiento",3,Zona 14,203,3,2.5,Info no disponible,"Zona 14, Guatemala",Maricarmen Sánchez,Tipo no especificado,https://mapainmueble.com/area/zona-14/
"$ 1,150 mant incluido + iva",2,Zona 14,139,2,2.5,Info no disponible,"Zona 14, Guatemala",AcBienes Raices,Tipo no especificado,https://mapainmueble.com/area/zona-14/
"$ 1,250",3,Zona 14,136,3,2,Info no disponible,"Zona 14, Guatemala",Monica Gomez,Tipo no especificado,https://mapainmueble.com/area/zona-14/
"$ 1,625",3,Zona 14,139,3,2.5,Info no disponible,"Zona 14, Guatemala",Patricia de Brol,Tipo no especificado,https://mapainmueble.com/area/zona-14/
$ 865,1,Zona 14,100,1,1,Info no disponible,"Zona 14, Guatemala",Virginia Archila,Tipo no especificado,https://mapainmueble.com/area/zona-14/
"$ 1,150",2,Zona 14,104,2,2,Info no disponible,"Zona 14, Guatemala",COINMSA Guatemala,Tipo no especificado,https://mapainmueble.com/area/zona-14/
"$ 2,250",3,Zona 14,121,3,2,Info no disponible,"Zona 14, Guatemala",WWW Real Estate Consulting,Tipo no especificado,https://mapainmueble.com/area/zona-14/
"$ 2,250",3,Zona 14,121,3,2,Info no disponible,"Zona 14, Guatemala",WWW Real Estate Consulting,Tipo no especificado,https://mapainmueble.com/area/zona-14/
"$ 1,250",2,Zona 14,Info no disponible,2,2,Info no disponible,"Zona 14, Guatemala",Premium Realtor,Tipo no especificado,https://mapainmueble.com/area/zona-14/
"$ 1,635",3,Zona 14,139,3,2.5,Info no disponible,"Zona 14, Guatemala",Maria Jose Sarg,Tipo no especificado,https://mapainmueble.com/area/zona-14/
"$ 1,650",3,Zona 14,Info no disponible,3,3,Info no disponible,"Zona 14, Guatemala",Michelle Ramirez,Tipo no especificado,https://mapainmueble.com/area/zona-14/
"$ 1,350 Disponible",3,Zona 14,120,3,2.5,Info no disponible,"Zona 14, Guatemala",Soluciones Viales,Tipo no especificado,https://mapainmueble.com/area/zona-14/
"$ 2,000",4,Zona 14,249,4,3.5,Info no disponible,"Zona 14, Guatemala",Negocios Integros,Tipo no especificado,https://mapainmueble.com/area/zona-14/
"$ 2,000",4,Zona 14,249,4,3.5,Info no disponible,"Zona 14, Guatemala",Negocios Integros,Tipo no especificado,https://mapainmueble.com/area/zona-14/
"$ 1,600 Más IVA si se requiere",2,Zona 14,165,2,3,Info no disponible,"Zona 14, Guatemala",Estilo Bienes Raices,Tipo no especificado,https://mapainmueble.com/area/zona-14/
$ 875,1,Zona 14,100,1,1,Info no disponible,"Zona 14, Guatemala",ALQUILOGT,Tipo no especificado,https://mapainmueble.com/area/zona-14/
"$ 1,700 USD",2,Zona 14,125,2,2.5,Info no disponible,"Zona 14, Guatemala",Parellada Luisa Kong Pamela,Tipo no especificado,https://mapainmueble.com/area/zona-14/
"$ 2,200",3,Zona 14,125,3,2.5,Info no disponible,"Zona 14, Guatemala",COINMSA Guatemala,Tipo no especificado,https://mapainmueble.com/area/zona-14/
"$ 2,000",3,Zona 14,248,3,3,Info no disponible,"Zona 14, Guatemala",ACODI Inmobiliaria,Tipo no especificado,https://mapainmueble.com/area/zona-14/
"$ 1,500",1,Zona 14,96,1,1.5,Info no disponible,"Zona 14, Guatemala",Nou Real Estate,Tipo no especificado,https://mapainmueble.com/area/zona-14/
"$ 1,700",2,Zona 14,Info no disponible,2,2.5,Info no disponible,"Zona 14, Guatemala",Inmaculada Palomares,Tipo no especificado,https://mapainmueble.com/area/zona-14/
"$ 5,600 dls",3,Zona 14,304,3,3.5,Info no disponible,"Zona 14, Guatemala",Maria Jose Sarg,Tipo no especificado,https://mapainmueble.com/area/zona-14/
