Precio $,Dormitorios,Nombre,Tamaño mt2,Habitaciones,Sanitarios,Parqueos,Zona,Agente,Tipo de Propiedad,URL
$ 860,1,Zona 14,44,1,1,Info no disponible,"Zona 14, Guatemala",Ambiente Inmobiliario,Tipo no especificado,https://mapainmueble.com/area/zona-14/
$ 860,1,Zona 14,44,1,1,Info no disponible,"Zona 14, Guatemala",Ambiente Inmobiliario,Tipo no especificado,https://mapainmueble.com/area/zona-14/
$ 860 USD$,1,Zona 14,44,1,1,Info no disponible,"Zona 14, Guatemala",Carol Paredes,Tipo no especificado,https://mapainmueble.com/area/zona-14/
"$ 1,000",3,Zona 14,136,3,2.5,Info no disponible,"Zona 14, Guatemala",Claudia Escobar,Tipo no especificado,https://mapainmueble.com/area/zona-14/
"$ 2,800",3,Zona 14,Info no disponible,3,Info no disponible,Info no disponible,"Zona 14, Guatemala",YVIVE INMOBILIARIA,Tipo no especificado,https://mapainmueble.com/area/zona-14/
"$ 1,500",2,Zona 14,193,2,2.5,Info no disponible,"Zona 14, Guatemala",Ambiente Inmobiliario,Tipo no especificado,https://mapainmueble.com/area/zona-14/
"$ 1,700",3,Zona 14,136,3,3,Info no disponible,"Zona 14, Guatemala",DK Real Estate,Tipo no especificado,https://mapainmueble.com/area/zona-14/
$ 890,1,Zona 14,44,1,1,Info no disponible,"Zona 14, Guatemala",Premium Realtor,Tipo no especificado,https://mapainmueble.com/area/zona-14/
$ 890,1,Zona 14,44,1,1,Info no disponible,"Zona 14, Guatemala",Premium Realtor,Tipo no especificado,https://mapainmueble.com/area/zona-14/
"$ 2,500 mantenimiento incluido",3,Zona 14,237,3,3.5,Info no disponible,"Zona 14, Guatemala",Red Inmobiliaria Alicia Morales,Tipo no especificado,https://mapainmueble.com/area/zona-14/
"$ 2,800 incluye iva.",3,Zona 14,200,3,2.5,Info no disponible,"Zona 14, Guatemala",SDLinmobiliaria,Tipo no especificado,https://mapainmueble.com/area/zona-14/
